CODPROD;TIPO;FECHA;CANTIDAD
2021;VENTA;2023/3/5;31
2022;VENTA;2023/3/5;48
2022;VENTA;2023/3/5;3
2022;VENTA;2023/3/5;1
2023;VENTA;2023/3/5;6
2024;VENTA;2023/3/5;48
2027;VENTA;2023/3/5;5
2028;VENTA;2023/3/5;21
2034;VENTA;2023/3/5;18
2039;VENTA;2023/3/5;39
2041;VENTA;2023/3/5;54
2045;VENTA;2023/3/5;49
2046;VENTA;2023/3/5;42
2047;VENTA;2023/3/5;44
2052;VENTA;2023/3/5;1
2053;VENTA;2023/3/5;39
2053;VENTA;2023/3/5;38
2053;VENTA;2023/3/5;30
2053;VENTA;2023/3/5;36
2021;VENTA;2023/3/6;9
2023;VENTA;2023/3/6;45
2023;VENTA;2023/3/6;14
2025;VENTA;2023/3/6;54
2025;VENTA;2023/3/6;8
2026;VENTA;2023/3/6;34
2029;VENTA;2023/3/6;41
2034;VENTA;2023/3/6;1
2037;VENTA;2023/3/6;30
2039;VENTA;2023/3/6;40
2044;VENTA;2023/3/6;5
2046;VENTA;2023/3/6;35
2047;VENTA;2023/3/6;10
2051;VENTA;2023/3/6;32
2051;VENTA;2023/3/6;11
2051;VENTA;2023/3/6;1
2052;VENTA;2023/3/6;4
2021;VENTA;2023/3/7;37
2025;VENTA;2023/3/7;6
2036;VENTA;2023/3/7;51
2037;VENTA;2023/3/7;54
2046;VENTA;2023/3/7;46
2052;VENTA;2023/3/7;17
2021;VENTA;2023/3/8;54
2023;VENTA;2023/3/8;10
2026;VENTA;2023/3/8;32
2031;VENTA;2023/3/8;46
2031;VENTA;2023/3/8;5
2031;VENTA;2023/3/8;53
2033;VENTA;2023/3/8;12
2033;VENTA;2023/3/8;36
2041;VENTA;2023/3/8;14
2043;VENTA;2023/3/8;34
2022;VENTA;2023/3/9;45
2022;VENTA;2023/3/9;45
2023;VENTA;2023/3/9;2
2024;VENTA;2023/3/9;29
2026;VENTA;2023/3/9;44
2027;VENTA;2023/3/9;17
2029;VENTA;2023/3/9;10
2029;VENTA;2023/3/9;43
2030;VENTA;2023/3/9;52
2034;VENTA;2023/3/9;42
2034;VENTA;2023/3/9;25
2035;VENTA;2023/3/9;27
2036;VENTA;2023/3/9;6
2036;VENTA;2023/3/9;28
2038;VENTA;2023/3/9;45
2039;VENTA;2023/3/9;40
2042;VENTA;2023/3/9;27
2045;VENTA;2023/3/9;10
2046;VENTA;2023/3/9;32
2047;VENTA;2023/3/9;38
2049;VENTA;2023/3/9;27
2053;VENTA;2023/3/9;25
2054;VENTA;2023/3/9;15
2025;VENTA;2023/3/10;54
2026;VENTA;2023/3/10;53
2032;VENTA;2023/3/10;16
2035;VENTA;2023/3/10;47
2035;VENTA;2023/3/10;4
2038;VENTA;2023/3/10;11
2039;VENTA;2023/3/10;47
2039;VENTA;2023/3/10;11
2043;VENTA;2023/3/10;21
2043;VENTA;2023/3/10;9
2045;VENTA;2023/3/10;6
2045;VENTA;2023/3/10;38
2046;VENTA;2023/3/10;28
2047;VENTA;2023/3/10;47
2021;VENTA;2023/3/11;30
2022;VENTA;2023/3/11;4
2024;VENTA;2023/3/11;50
2026;VENTA;2023/3/11;13
2030;VENTA;2023/3/11;4
2031;VENTA;2023/3/11;32
2042;VENTA;2023/3/11;26
2043;VENTA;2023/3/11;22
2047;VENTA;2023/3/11;41
2048;VENTA;2023/3/11;41
2049;VENTA;2023/3/11;53
2053;VENTA;2023/3/11;12
2023;VENTA;2023/3/12;43
2024;VENTA;2023/3/12;11
2027;VENTA;2023/3/12;6
2028;VENTA;2023/3/12;30
2030;VENTA;2023/3/12;13
2031;VENTA;2023/3/12;32
2035;VENTA;2023/3/12;42
2039;VENTA;2023/3/12;33
2039;VENTA;2023/3/12;10
2044;VENTA;2023/3/12;50
2044;VENTA;2023/3/12;1
2021;VENTA;2023/3/13;26
2025;VENTA;2023/3/13;20
2027;VENTA;2023/3/13;50
2027;VENTA;2023/3/13;48
2029;VENTA;2023/3/13;49
2030;VENTA;2023/3/13;30
2035;VENTA;2023/3/13;41
2047;VENTA;2023/3/13;24
2048;VENTA;2023/3/13;7
2053;VENTA;2023/3/13;30
2054;VENTA;2023/3/13;32
2054;VENTA;2023/3/13;44
2023;VENTA;2023/3/14;44
2025;VENTA;2023/3/14;5
2026;VENTA;2023/3/14;8
2027;VENTA;2023/3/14;33
2028;VENTA;2023/3/14;6
2034;VENTA;2023/3/14;23
2035;VENTA;2023/3/14;5
2039;VENTA;2023/3/14;31
2041;VENTA;2023/3/14;10
2041;VENTA;2023/3/14;31
2041;VENTA;2023/3/14;27
2046;VENTA;2023/3/14;35
2048;VENTA;2023/3/14;5
2049;VENTA;2023/3/14;14
2051;VENTA;2023/3/14;41
2052;VENTA;2023/3/14;18
2021;VENTA;2023/3/15;13
2021;VENTA;2023/3/15;26
2022;VENTA;2023/3/15;13
2028;VENTA;2023/3/15;36
2034;VENTA;2023/3/15;20
2037;VENTA;2023/3/15;20
2043;VENTA;2023/3/15;49
2043;VENTA;2023/3/15;43
2044;VENTA;2023/3/15;45
2047;VENTA;2023/3/15;53
2048;VENTA;2023/3/15;37
2021;VENTA;2023/3/16;2
2022;VENTA;2023/3/16;16
2027;VENTA;2023/3/16;29
2028;VENTA;2023/3/16;50
2033;VENTA;2023/3/16;18
2035;VENTA;2023/3/16;24
2038;VENTA;2023/3/16;12
2039;VENTA;2023/3/16;6
2045;VENTA;2023/3/16;28
2047;VENTA;2023/3/16;1
2052;VENTA;2023/3/16;3
2054;VENTA;2023/3/16;22
2054;VENTA;2023/3/16;9
2029;VENTA;2023/3/17;15
2031;VENTA;2023/3/17;29
2032;VENTA;2023/3/17;6
2035;VENTA;2023/3/17;27
2035;VENTA;2023/3/17;42
2036;VENTA;2023/3/17;4
2041;VENTA;2023/3/17;46
2045;VENTA;2023/3/17;24
2047;VENTA;2023/3/17;9
2048;VENTA;2023/3/17;48
2022;VENTA;2023/3/18;39
2029;VENTA;2023/3/18;4
2039;VENTA;2023/3/18;34
2042;VENTA;2023/3/18;49
2042;VENTA;2023/3/18;15
2044;VENTA;2023/3/18;46
2046;VENTA;2023/3/18;18
2048;VENTA;2023/3/18;14
2048;VENTA;2023/3/18;8
2050;VENTA;2023/3/18;21
2050;VENTA;2023/3/18;14
2050;VENTA;2023/3/18;9
2022;VENTA;2023/3/19;29
2024;VENTA;2023/3/19;35
2032;VENTA;2023/3/19;14
2032;VENTA;2023/3/19;29
2039;VENTA;2023/3/19;52
2042;VENTA;2023/3/19;9
2043;VENTA;2023/3/19;10
2043;VENTA;2023/3/19;5
2044;VENTA;2023/3/19;11
2045;VENTA;2023/3/19;46
2048;VENTA;2023/3/19;20
2050;VENTA;2023/3/19;27
2051;VENTA;2023/3/19;46
2022;VENTA;2023/3/20;15
2022;VENTA;2023/3/20;19
2027;VENTA;2023/3/20;14
2028;VENTA;2023/3/20;22
2032;VENTA;2023/3/20;27
2033;VENTA;2023/3/20;42
2034;VENTA;2023/3/20;5
2039;VENTA;2023/3/20;45
2043;VENTA;2023/3/20;24
2047;VENTA;2023/3/20;1
2048;VENTA;2023/3/20;17
2049;VENTA;2023/3/20;14
2054;VENTA;2023/3/20;15
2024;VENTA;2023/3/21;3
2027;VENTA;2023/3/21;14
2033;VENTA;2023/3/21;45
2033;VENTA;2023/3/21;39
2038;VENTA;2023/3/21;35
2038;VENTA;2023/3/21;45
2038;VENTA;2023/3/21;46
2041;VENTA;2023/3/21;21
2042;VENTA;2023/3/21;21
2043;VENTA;2023/3/21;47
2046;VENTA;2023/3/21;24
2047;VENTA;2023/3/21;18
2048;VENTA;2023/3/21;21
2049;VENTA;2023/3/21;9
2050;VENTA;2023/3/21;15
2053;VENTA;2023/3/21;34
2022;VENTA;2023/3/22;13
2022;VENTA;2023/3/22;40
2024;VENTA;2023/3/22;34
2029;VENTA;2023/3/22;41
2032;VENTA;2023/3/22;9
2036;VENTA;2023/3/22;9
2038;VENTA;2023/3/22;42
2040;VENTA;2023/3/22;45
2043;VENTA;2023/3/22;15
2046;VENTA;2023/3/22;46
2047;VENTA;2023/3/22;9
2048;VENTA;2023/3/22;4
2048;VENTA;2023/3/22;16
2048;VENTA;2023/3/22;1
2050;VENTA;2023/3/22;47
2050;VENTA;2023/3/22;16
2051;VENTA;2023/3/22;7
2052;VENTA;2023/3/22;31
2052;VENTA;2023/3/22;29
2021;VENTA;2023/3/23;22
2022;VENTA;2023/3/23;31
2022;VENTA;2023/3/23;23
2026;VENTA;2023/3/23;26
2026;VENTA;2023/3/23;22
2026;VENTA;2023/3/23;42
2027;VENTA;2023/3/23;33
2032;VENTA;2023/3/23;19
2032;VENTA;2023/3/23;19
2034;VENTA;2023/3/23;36
2034;VENTA;2023/3/23;48
2034;VENTA;2023/3/23;47
2035;VENTA;2023/3/23;4
2036;VENTA;2023/3/23;44
2037;VENTA;2023/3/23;1
2037;VENTA;2023/3/23;49
2038;VENTA;2023/3/23;23
2039;VENTA;2023/3/23;40
2039;VENTA;2023/3/23;28
2040;VENTA;2023/3/23;35
2047;VENTA;2023/3/23;36
2048;VENTA;2023/3/23;54
2049;VENTA;2023/3/23;34
2049;VENTA;2023/3/23;48
2049;VENTA;2023/3/23;16
2049;VENTA;2023/3/23;11
2052;VENTA;2023/3/23;40
2023;VENTA;2023/3/24;35
2025;VENTA;2023/3/24;19
2030;VENTA;2023/3/24;49
2032;VENTA;2023/3/24;4
2032;VENTA;2023/3/24;32
2033;VENTA;2023/3/24;23
2035;VENTA;2023/3/24;45
2036;VENTA;2023/3/24;4
2044;VENTA;2023/3/24;16
2046;VENTA;2023/3/24;21
2047;VENTA;2023/3/24;27
2049;VENTA;2023/3/24;34
2023;VENTA;2023/3/25;29
2026;VENTA;2023/3/25;18
2028;VENTA;2023/3/25;6
2031;VENTA;2023/3/25;8
2036;VENTA;2023/3/25;32
2037;VENTA;2023/3/25;54
2038;VENTA;2023/3/25;17
2038;VENTA;2023/3/25;51
2040;VENTA;2023/3/25;20
2042;VENTA;2023/3/25;15
2042;VENTA;2023/3/25;34
2043;VENTA;2023/3/25;48
2043;VENTA;2023/3/25;13
2049;VENTA;2023/3/25;33
2021;VENTA;2023/3/26;36
2023;VENTA;2023/3/26;16
2023;VENTA;2023/3/26;25
2028;VENTA;2023/3/26;12
2028;VENTA;2023/3/26;22
2032;VENTA;2023/3/26;4
2034;VENTA;2023/3/26;9
2038;VENTA;2023/3/26;36
2038;VENTA;2023/3/26;5
2043;VENTA;2023/3/26;17
2044;VENTA;2023/3/26;38
2044;VENTA;2023/3/26;3
2051;VENTA;2023/3/26;2
2052;VENTA;2023/3/26;48
2054;VENTA;2023/3/26;19
2021;VENTA;2023/3/27;4
2029;VENTA;2023/3/27;48
2037;VENTA;2023/3/27;12
2041;VENTA;2023/3/27;43
2042;VENTA;2023/3/27;38
2042;VENTA;2023/3/27;48
2042;VENTA;2023/3/27;54
2043;VENTA;2023/3/27;13
2050;VENTA;2023/3/27;49
2050;VENTA;2023/3/27;42
2024;VENTA;2023/3/28;2
2029;VENTA;2023/3/28;28
2030;VENTA;2023/3/28;33
2033;VENTA;2023/3/28;27
2034;VENTA;2023/3/28;20
2034;VENTA;2023/3/28;3
2037;VENTA;2023/3/28;51
2038;VENTA;2023/3/28;29
2042;VENTA;2023/3/28;34
2050;VENTA;2023/3/28;6
2051;VENTA;2023/3/28;7
2021;VENTA;2023/3/29;17
2026;VENTA;2023/3/29;13
2029;VENTA;2023/3/29;1
2031;VENTA;2023/3/29;36
2044;VENTA;2023/3/29;17
2045;VENTA;2023/3/29;12
2047;VENTA;2023/3/29;3
2049;VENTA;2023/3/29;27
2052;VENTA;2023/3/29;46
2022;VENTA;2023/3/30;7
2023;VENTA;2023/3/30;5
2024;VENTA;2023/3/30;11
2026;VENTA;2023/3/30;30
2028;VENTA;2023/3/30;41
2030;VENTA;2023/3/30;6
2032;VENTA;2023/3/30;9
2033;VENTA;2023/3/30;44
2038;VENTA;2023/3/30;1
2040;VENTA;2023/3/30;16
2045;VENTA;2023/3/30;18
2045;VENTA;2023/3/30;41
2046;VENTA;2023/3/30;51
2047;VENTA;2023/3/30;46
2048;VENTA;2023/3/30;39
2050;VENTA;2023/3/30;2
2050;VENTA;2023/3/30;45
2051;VENTA;2023/3/30;8
2021;VENTA;2023/3/31;39
2021;VENTA;2023/3/31;14
2028;VENTA;2023/3/31;21
2031;VENTA;2023/3/31;23
2034;VENTA;2023/3/31;21
2035;VENTA;2023/3/31;25
2037;VENTA;2023/3/31;37
2047;VENTA;2023/3/31;46
2052;VENTA;2023/3/31;20
2053;VENTA;2023/3/31;26
2025;VENTA;2023/4/1;45
2027;VENTA;2023/4/1;5
2027;VENTA;2023/4/1;28
2029;VENTA;2023/4/1;2
2032;VENTA;2023/4/1;50
2034;VENTA;2023/4/1;29
2036;VENTA;2023/4/1;36
2039;VENTA;2023/4/1;49
2041;VENTA;2023/4/1;8
2042;VENTA;2023/4/1;40
2047;VENTA;2023/4/1;7
2051;VENTA;2023/4/1;7
2054;VENTA;2023/4/1;3
2024;VENTA;2023/4/2;24
2029;VENTA;2023/4/2;8
2030;VENTA;2023/4/2;46
2034;VENTA;2023/4/2;53
2035;VENTA;2023/4/2;8
2035;VENTA;2023/4/2;27
2040;VENTA;2023/4/2;39
2040;VENTA;2023/4/2;25
2041;VENTA;2023/4/2;9
2044;VENTA;2023/4/2;21
2049;VENTA;2023/4/2;8
2051;VENTA;2023/4/2;36
2023;VENTA;2023/4/3;18
2025;VENTA;2023/4/3;23
2027;VENTA;2023/4/3;4
2028;VENTA;2023/4/3;11
2034;VENTA;2023/4/3;29
2035;VENTA;2023/4/3;3
2054;VENTA;2023/4/3;40
2030;VENTA;2023/4/4;31
2030;VENTA;2023/4/4;1
2031;VENTA;2023/4/4;13
2031;VENTA;2023/4/4;28
2031;VENTA;2023/4/4;41
2033;VENTA;2023/4/4;47
2035;VENTA;2023/4/4;45
2037;VENTA;2023/4/4;34
2038;VENTA;2023/4/4;26
2039;VENTA;2023/4/4;43
2041;VENTA;2023/4/4;20
2044;VENTA;2023/4/4;37
2045;VENTA;2023/4/4;4
2046;VENTA;2023/4/4;18
2048;VENTA;2023/4/4;32
2049;VENTA;2023/4/4;21
2053;VENTA;2023/4/4;19
2053;VENTA;2023/4/4;19
2025;VENTA;2023/4/5;9
2027;VENTA;2023/4/5;31
2028;VENTA;2023/4/5;48
2032;VENTA;2023/4/5;5
2033;VENTA;2023/4/5;7
2037;VENTA;2023/4/5;21
2037;VENTA;2023/4/5;24
2038;VENTA;2023/4/5;24
2040;VENTA;2023/4/5;11
2043;VENTA;2023/4/5;22
2043;VENTA;2023/4/5;43
2046;VENTA;2023/4/5;32
2046;VENTA;2023/4/5;23
2048;VENTA;2023/4/5;15
2021;VENTA;2023/4/6;28
2022;VENTA;2023/4/6;8
2023;VENTA;2023/4/6;9
2023;VENTA;2023/4/6;34
2025;VENTA;2023/4/6;39
2027;VENTA;2023/4/6;36
2028;VENTA;2023/4/6;13
2030;VENTA;2023/4/6;40
2030;VENTA;2023/4/6;46
2034;VENTA;2023/4/6;28
2038;VENTA;2023/4/6;40
2040;VENTA;2023/4/6;35
2045;VENTA;2023/4/6;31
2047;VENTA;2023/4/6;22
2047;VENTA;2023/4/6;38
2051;VENTA;2023/4/6;36
2025;VENTA;2023/4/7;42
2028;VENTA;2023/4/7;49
2028;VENTA;2023/4/7;50
2029;VENTA;2023/4/7;46
2030;VENTA;2023/4/7;7
2043;VENTA;2023/4/7;15
2044;VENTA;2023/4/7;36
2046;VENTA;2023/4/7;31
2053;VENTA;2023/4/7;6
2021;VENTA;2023/4/8;52
2025;VENTA;2023/4/8;9
2036;VENTA;2023/4/8;52
2037;VENTA;2023/4/8;4
2037;VENTA;2023/4/8;23
2038;VENTA;2023/4/8;29
2043;VENTA;2023/4/8;8
2043;VENTA;2023/4/8;21
2046;VENTA;2023/4/8;39
2053;VENTA;2023/4/8;27
2021;VENTA;2023/4/9;20
2022;VENTA;2023/4/9;14
2023;VENTA;2023/4/9;28
2024;VENTA;2023/4/9;13
2035;VENTA;2023/4/9;26
2035;VENTA;2023/4/9;24
2039;VENTA;2023/4/9;54
2040;VENTA;2023/4/9;53
2041;VENTA;2023/4/9;21
2052;VENTA;2023/4/9;15
2052;VENTA;2023/4/9;12
2021;VENTA;2023/4/10;53
2022;VENTA;2023/4/10;44
2023;VENTA;2023/4/10;48
2026;VENTA;2023/4/10;6
2026;VENTA;2023/4/10;49
2032;VENTA;2023/4/10;34
2033;VENTA;2023/4/10;2
2034;VENTA;2023/4/10;25
2042;VENTA;2023/4/10;4
2042;VENTA;2023/4/10;2
2050;VENTA;2023/4/10;25
2053;VENTA;2023/4/10;29
2054;VENTA;2023/4/10;32
2021;VENTA;2023/4/11;2
2023;VENTA;2023/4/11;6
2027;VENTA;2023/4/11;17
2030;VENTA;2023/4/11;28
2035;VENTA;2023/4/11;13
2035;VENTA;2023/4/11;41
2037;VENTA;2023/4/11;41
2038;VENTA;2023/4/11;12
2038;VENTA;2023/4/11;21
2045;VENTA;2023/4/11;14
2048;VENTA;2023/4/11;12
2051;VENTA;2023/4/11;10
2052;VENTA;2023/4/11;5
2053;VENTA;2023/4/11;38
2054;VENTA;2023/4/11;32
2023;VENTA;2023/4/12;49
2026;VENTA;2023/4/12;33
2026;VENTA;2023/4/12;17
2026;VENTA;2023/4/12;33
2033;VENTA;2023/4/12;38
2038;VENTA;2023/4/12;17
2039;VENTA;2023/4/12;12
2043;VENTA;2023/4/12;43
2047;VENTA;2023/4/12;47
2048;VENTA;2023/4/12;29
2049;VENTA;2023/4/12;49
2049;VENTA;2023/4/12;54
2049;VENTA;2023/4/12;6
2050;VENTA;2023/4/12;21
2050;VENTA;2023/4/12;18
2052;VENTA;2023/4/12;24
2053;VENTA;2023/4/12;48
2028;VENTA;2023/4/13;16
2030;VENTA;2023/4/13;16
2031;VENTA;2023/4/13;26
2034;VENTA;2023/4/13;9
2036;VENTA;2023/4/13;16
2037;VENTA;2023/4/13;28
2043;VENTA;2023/4/13;23
2046;VENTA;2023/4/13;11
2046;VENTA;2023/4/13;24
2047;VENTA;2023/4/13;24
2052;VENTA;2023/4/13;35
2054;VENTA;2023/4/13;36
2054;VENTA;2023/4/13;33
2054;VENTA;2023/4/13;28
2021;VENTA;2023/4/14;54
2023;VENTA;2023/4/14;35
2032;VENTA;2023/4/14;18
2035;VENTA;2023/4/14;51
2036;VENTA;2023/4/14;37
2036;VENTA;2023/4/14;28
2040;VENTA;2023/4/14;20
2042;VENTA;2023/4/14;18
2044;VENTA;2023/4/14;39
2047;VENTA;2023/4/14;33
2049;VENTA;2023/4/14;17
2054;VENTA;2023/4/14;10
2054;VENTA;2023/4/14;54
2024;VENTA;2023/4/15;38
2028;VENTA;2023/4/15;31
2040;VENTA;2023/4/15;43
2040;VENTA;2023/4/15;15
2041;VENTA;2023/4/15;36
2041;VENTA;2023/4/15;44
2046;VENTA;2023/4/15;38
2047;VENTA;2023/4/15;45
2048;VENTA;2023/4/15;47
2053;VENTA;2023/4/15;17
2053;VENTA;2023/4/15;11
2053;VENTA;2023/4/15;32
2024;VENTA;2023/4/16;6
2028;VENTA;2023/4/16;17
2038;VENTA;2023/4/16;38
2045;VENTA;2023/4/16;11
2046;VENTA;2023/4/16;5
2046;VENTA;2023/4/16;33
2047;VENTA;2023/4/16;22
2048;VENTA;2023/4/16;48
2053;VENTA;2023/4/16;19
2028;VENTA;2023/4/17;51
2029;VENTA;2023/4/17;10
2038;VENTA;2023/4/17;21
2043;VENTA;2023/4/17;44
2045;VENTA;2023/4/17;9
2046;VENTA;2023/4/17;30
2047;VENTA;2023/4/17;13
2048;VENTA;2023/4/17;37
2048;VENTA;2023/4/17;17
2050;VENTA;2023/4/17;39
2054;VENTA;2023/4/17;26
2054;VENTA;2023/4/17;31
2021;VENTA;2023/4/18;20
2021;VENTA;2023/4/18;34
2027;VENTA;2023/4/18;34
2028;VENTA;2023/4/18;1
2033;VENTA;2023/4/18;7
2040;VENTA;2023/4/18;24
2045;VENTA;2023/4/18;31
2047;VENTA;2023/4/18;8
2049;VENTA;2023/4/18;51
2054;VENTA;2023/4/18;32
2023;VENTA;2023/4/19;11
2026;VENTA;2023/4/19;13
2035;VENTA;2023/4/19;41
2035;VENTA;2023/4/19;4
2037;VENTA;2023/4/19;30
2040;VENTA;2023/4/19;25
2047;VENTA;2023/4/19;42
2052;VENTA;2023/4/19;48
2052;VENTA;2023/4/19;39
2021;VENTA;2023/4/20;38
2023;VENTA;2023/4/20;45
2025;VENTA;2023/4/20;51
2026;VENTA;2023/4/20;15
2030;VENTA;2023/4/20;39
2031;VENTA;2023/4/20;23
2033;VENTA;2023/4/20;41
2036;VENTA;2023/4/20;1
2036;VENTA;2023/4/20;12
2037;VENTA;2023/4/20;21
2037;VENTA;2023/4/20;41
2040;VENTA;2023/4/20;27
2045;VENTA;2023/4/20;20
2046;VENTA;2023/4/20;24
2048;VENTA;2023/4/20;31
2048;VENTA;2023/4/20;39
2051;VENTA;2023/4/20;1
2052;VENTA;2023/4/20;51
2053;VENTA;2023/4/20;14
2021;VENTA;2023/4/21;16
2023;VENTA;2023/4/21;37
2027;VENTA;2023/4/21;37
2030;VENTA;2023/4/21;46
2032;VENTA;2023/4/21;45
2036;VENTA;2023/4/21;46
2040;VENTA;2023/4/21;54
2041;VENTA;2023/4/21;53
2042;VENTA;2023/4/21;46
2046;VENTA;2023/4/21;15
2047;VENTA;2023/4/21;51
2028;VENTA;2023/4/22;18
2031;VENTA;2023/4/22;3
2033;VENTA;2023/4/22;18
2033;VENTA;2023/4/22;24
2039;VENTA;2023/4/22;28
2045;VENTA;2023/4/22;11
2047;VENTA;2023/4/22;21
2050;VENTA;2023/4/22;47
2051;VENTA;2023/4/22;5
2052;VENTA;2023/4/22;50
2054;VENTA;2023/4/22;48
2054;VENTA;2023/4/22;23
2023;VENTA;2023/4/23;8
2023;VENTA;2023/4/23;3
2031;VENTA;2023/4/23;19
2035;VENTA;2023/4/23;52
2042;VENTA;2023/4/23;31
2045;VENTA;2023/4/23;28
2050;VENTA;2023/4/23;39
2050;VENTA;2023/4/23;27
2025;VENTA;2023/4/24;37
2028;VENTA;2023/4/24;42
2031;VENTA;2023/4/24;15
2035;VENTA;2023/4/24;46
2038;VENTA;2023/4/24;38
2038;VENTA;2023/4/24;10
2039;VENTA;2023/4/24;46
2042;VENTA;2023/4/24;51
2043;VENTA;2023/4/24;6
2045;VENTA;2023/4/24;11
2022;VENTA;2023/4/25;22
2023;VENTA;2023/4/25;38
2030;VENTA;2023/4/25;26
2031;VENTA;2023/4/25;34
2033;VENTA;2023/4/25;10
2035;VENTA;2023/4/25;18
2036;VENTA;2023/4/25;6
2038;VENTA;2023/4/25;49
2048;VENTA;2023/4/25;48
2021;VENTA;2023/4/26;11
2027;VENTA;2023/4/26;2
2028;VENTA;2023/4/26;16
2028;VENTA;2023/4/26;23
2033;VENTA;2023/4/26;2
2041;VENTA;2023/4/26;21
2043;VENTA;2023/4/26;29
2043;VENTA;2023/4/26;16
2043;VENTA;2023/4/26;29
2045;VENTA;2023/4/26;35
2046;VENTA;2023/4/26;21
2051;VENTA;2023/4/26;30
2052;VENTA;2023/4/26;30
2024;VENTA;2023/4/27;46
2026;VENTA;2023/4/27;36
2033;VENTA;2023/4/27;33
2035;VENTA;2023/4/27;36
2036;VENTA;2023/4/27;25
2039;VENTA;2023/4/27;54
2039;VENTA;2023/4/27;50
2040;VENTA;2023/4/27;18
2044;VENTA;2023/4/27;29
2045;VENTA;2023/4/27;13
2051;VENTA;2023/4/27;46
2054;VENTA;2023/4/27;48
2022;VENTA;2023/4/28;51
2022;VENTA;2023/4/28;41
2022;VENTA;2023/4/28;11
2023;VENTA;2023/4/28;51
2026;VENTA;2023/4/28;18
2026;VENTA;2023/4/28;7
2031;VENTA;2023/4/28;21
2032;VENTA;2023/4/28;16
2035;VENTA;2023/4/28;35
2036;VENTA;2023/4/28;16
2036;VENTA;2023/4/28;2
2036;VENTA;2023/4/28;26
2037;VENTA;2023/4/28;6
2038;VENTA;2023/4/28;25
2040;VENTA;2023/4/28;51
2045;VENTA;2023/4/28;22
2045;VENTA;2023/4/28;27
2049;VENTA;2023/4/28;36
2053;VENTA;2023/4/28;22
2053;VENTA;2023/4/28;38
2025;VENTA;2023/4/29;9
2028;VENTA;2023/4/29;7
2028;VENTA;2023/4/29;29
2038;VENTA;2023/4/29;22
2039;VENTA;2023/4/29;11
2039;VENTA;2023/4/29;11
2048;VENTA;2023/4/29;42
2048;VENTA;2023/4/29;18
2049;VENTA;2023/4/29;39
2049;VENTA;2023/4/29;13
2050;VENTA;2023/4/29;10
2052;VENTA;2023/4/29;18
2022;VENTA;2023/4/30;39
2024;VENTA;2023/4/30;40
2025;VENTA;2023/4/30;23
2028;VENTA;2023/4/30;1
2029;VENTA;2023/4/30;20
2030;VENTA;2023/4/30;23
2031;VENTA;2023/4/30;53
2033;VENTA;2023/4/30;53
2033;VENTA;2023/4/30;46
2035;VENTA;2023/4/30;1
2041;VENTA;2023/4/30;45
2042;VENTA;2023/4/30;34
2050;VENTA;2023/4/30;53
2053;VENTA;2023/4/30;1
2026;VENTA;2023/5/1;48
2032;VENTA;2023/5/1;54
2034;VENTA;2023/5/1;48
2037;VENTA;2023/5/1;19
2041;VENTA;2023/5/1;18
2043;VENTA;2023/5/1;4
2045;VENTA;2023/5/1;2
2046;VENTA;2023/5/1;34
2047;VENTA;2023/5/1;33
2049;VENTA;2023/5/1;53
2051;VENTA;2023/5/1;47
2052;VENTA;2023/5/1;34
2052;VENTA;2023/5/1;30
2052;VENTA;2023/5/1;24
2053;VENTA;2023/5/1;32
2025;VENTA;2023/5/2;52
2025;VENTA;2023/5/2;46
2030;VENTA;2023/5/2;17
2033;VENTA;2023/5/2;44
2035;VENTA;2023/5/2;47
2036;VENTA;2023/5/2;21
2037;VENTA;2023/5/2;49
2037;VENTA;2023/5/2;3
2038;VENTA;2023/5/2;38
2038;VENTA;2023/5/2;17
2042;VENTA;2023/5/2;26
2043;VENTA;2023/5/2;26
2047;VENTA;2023/5/2;18
2049;VENTA;2023/5/2;18
2051;VENTA;2023/5/2;45
2021;VENTA;2023/5/3;22
2022;VENTA;2023/5/3;37
2024;VENTA;2023/5/3;32
2028;VENTA;2023/5/3;44
2032;VENTA;2023/5/3;37
2032;VENTA;2023/5/3;54
2035;VENTA;2023/5/3;21
2040;VENTA;2023/5/3;4
2042;VENTA;2023/5/3;8
2044;VENTA;2023/5/3;2
2044;VENTA;2023/5/3;11
2047;VENTA;2023/5/3;47
2047;VENTA;2023/5/3;50
2048;VENTA;2023/5/3;42
2051;VENTA;2023/5/3;2
2052;VENTA;2023/5/3;39
2025;VENTA;2023/5/4;25
2034;VENTA;2023/5/4;13
2040;VENTA;2023/5/4;31
2040;VENTA;2023/5/4;40
2044;VENTA;2023/5/4;10
2045;VENTA;2023/5/4;5
2048;VENTA;2023/5/4;51
2048;VENTA;2023/5/4;7
2048;VENTA;2023/5/4;7
2054;VENTA;2023/5/4;20
2022;VENTA;2023/5/5;50
2035;VENTA;2023/5/5;17
2036;VENTA;2023/5/5;14
2037;VENTA;2023/5/5;10
2041;VENTA;2023/5/5;9
2043;VENTA;2023/5/5;25
2044;VENTA;2023/5/5;7
2027;VENTA;2023/5/6;11
2028;VENTA;2023/5/6;11
2030;VENTA;2023/5/6;26
2031;VENTA;2023/5/6;1
2033;VENTA;2023/5/6;39
2033;VENTA;2023/5/6;30
2034;VENTA;2023/5/6;47
2041;VENTA;2023/5/6;29
2044;VENTA;2023/5/6;12
2048;VENTA;2023/5/6;7
2049;VENTA;2023/5/6;17
2049;VENTA;2023/5/6;18
